No,Category ,Amount,Date,Type
111,Palm Oil,-0.473061091,Mar-20,mom%
112,Palm Oil,-3.090465001,Apr-20,mom%
113,Palm Oil,4.937691509,May-20,mom%
114,Palm Oil,29.89127335,Jun-20,mom%
115,Palm Oil,1.32505826,Jul-20,mom%
116,Palm Oil,-13.62117764,Aug-20,mom%
117,Palm Oil,20.15236029,Sep-20,mom%
118,Palm Oil,10.99805919,Oct-20,mom%
119,Palm Oil,-26.64492679,Nov-20,mom%
120,Palm Oil,41.00885754,Dec-20,mom%
121,Petroleum,-10.79677642,Jan-20,yoy%
122,Petroleum,-11.46133653,Feb-20,yoy%
123,Petroleum,-4.034026875,Mar-20,yoy%
124,Petroleum,-33.76212455,Apr-20,yoy%
125,Petroleum,-68.94131976,May-20,yoy%
126,Petroleum,-70.85029267,Jun-20,yoy%
127,Petroleum,-4.939015919,Jul-20,yoy%
128,Petroleum,-0.588001162,Aug-20,yoy%
129,Petroleum,21.20208558,Sep-20,yoy%
130,Petroleum,-44.81009049,Oct-20,yoy%
131,Petroleum,-28.70265339,Nov-20,yoy%
132,Petroleum,-42.83960225,Dec-20,yoy%
133,Petroleum,-11.87151406,Jan-20,mom%
134,Petroleum,-23.33963076,Feb-20,mom%
135,Petroleum,36.91213739,Mar-20,mom%
136,Petroleum,-45.64497684,Apr-20,mom%
137,Petroleum,-38.47289513,May-20,mom%
138,Petroleum,18.3777199,Jun-20,mom%
139,Petroleum,116.4665476,Jul-20,mom%
140,Petroleum,-0.273964025,Aug-20,mom%
141,Petroleum,-10.06218562,Sep-20,mom%
142,Petroleum,-41.51328995,Oct-20,mom%
143,Petroleum,51.1394946,Nov-20,mom%
144,Petroleum,-9.047821579,Dec-20,mom%
145,Total E&E,13.05569246,Jan-21,yoy%
146,Total E&E,25.51582285,Feb-21,yoy%
147,Total E&E,47.99156447,Mar-21,yoy%
148,Total E&E,42.98922523,Apr-21,yoy%
149,Total E&E,34.28117908,May-21,yoy%
150,Total E&E,14.14604875,Jun-21,yoy%
151,Total E&E,-12.14703318,Jul-21,yoy%
152,Total E&E,6.797973674,Aug-21,yoy%
153,Total E&E,5.613812519,Sep-21,yoy%
154,Total E&E,8.759251357,Oct-21,yoy%
155,Total E&E,17.40626974,Nov-21,yoy%
156,Total E&E,-0.026195191,Jan-21,mom%
157,Total E&E,-14.02567656,Feb-21,mom%
158,Total E&E,26.26306453,Mar-21,mom%
159,Total E&E,-6.898728134,Apr-21,mom%
160,Total E&E,-14.80586004,May-21,mom%
161,Total E&E,17.74510377,Jun-21,mom%
162,Total E&E,-6.502527271,Jul-21,mom%
163,Total E&E,-1.370588776,Aug-21,mom%
164,Total E&E,19.81765662,Sep-21,mom%
165,Total E&E,2.325075776,Oct-21,mom%
166,Total E&E,-4.695915151,Nov-21,mom%
167,Palm Oil,-10.94972706,Jan-21,yoy%
